run,game,llm,player,elo,ci_low,ci_high,temperature,visits,superko_violation,rating_source
arena_20260723_173702_334483_0c232340,5,gemini-3.1-pro-high-api,kata1-b6c96-s16525312-d2925067,2262.0,2234.0,2290.0,0.1,1,False,log/arena_20260723_173702_334483_0c232340/run.json
arena_20260723_205921_431630_42e71474,13,gpt5.6-sol-low-api,kata1-b6c96-s8982784-d2082583-temp-0.3,1536.0,1511.0,1561.0,0.3,1,False,log/arena_20260723_205921_431630_42e71474/run.json
arena_20260723_205921_431630_42e71474,15,gpt5.6-sol-low-api,kata1-b6c96-s10014464-d2201128-temp-0.3,1636.0,1610.0,1662.0,0.3,1,True,log/arena_20260723_205921_431630_42e71474/run.json
arena_20260731_044901_270838_7068701f,11,grok-4.5-high-api,kata1-b6c96-s6127360-d1754797,1262.0,1236.0,1288.0,0.1,1,False,log/arena_20260731_044901_270838_7068701f/run.json
arena_20260807_184513_963568_b2aa1679,6,DeepSeek-V4-Flash-0731-high-api,kata1-b6c96-s11888896-d2416753-temp-0.5,1743.0,1717.0,1769.0,0.5,1,False,log/arena_20260807_184513_963568_b2aa1679/run.json
arena_20260807_184513_963568_b2aa1679,13,DeepSeek-V4-Flash-0731-high-api,kata1-b6c96-s12849664-d2510774,1945.0,1917.0,1973.0,0.1,1,False,log/arena_20260807_184513_963568_b2aa1679/run.json
arena_20260807_223534_789082_9ae5a490,10,kimi-k3-high-api,kata1-b6c96-s11888896-d2416753-temp-0.5,1743.0,1717.0,1769.0,0.5,1,False,log/arena_20260807_223534_789082_9ae5a490/run.json
arena_20260807_223534_789082_9ae5a490,19,muse-spark-1.2-openrouter-high-api,kata1-b6c96-s8080640-d1961030-temp-0.3,1413.0,1389.0,1437.0,0.3,1,False,log/arena_20260807_223534_789082_9ae5a490/run.json
arena_20260807_223534_789082_9ae5a490,21,kimi-k3-high-api,kata1-b6c96-s8982784-d2082583,1574.0,1547.0,1601.0,0.1,1,False,log/arena_20260807_223534_789082_9ae5a490/run.json
arena_20260817_065559_213696_f822d790,5,gpt5.6-luna-high-codex-workspace,kata1-b6c96-s6127360-d1754797-temp-0.9,639.8795768255483,620.5799309235151,659.1792227275814,0.9,1,False,log/arena_20260817_065559_213696_f822d790/run.json
arena_20260818_021103_083881_b776e37a,25,gpt5.6-luna-max-codex-multi,kata1-b6c96-s8982784-d2082583-temp-0.5,1364.5830255421813,1340.8679928882855,1388.2980581960771,0.5,1,True,log/arena_20260818_021103_083881_b776e37a/run.json
arena_20260818_035858_741335_f255e7e6,10,gpt5.6-sol-max-codex-multi,kata1-b6c96-s14649344-d2727367-temp-0.3,2084.869389534525,2057.8046831098345,2111.9340959592155,0.3,1,True,log/arena_20260818_035858_741335_f255e7e6/run.json
arena_20260818_035858_741335_f255e7e6,14,gpt5.6-sol-max-codex-multi,kata1-b6c96-s13733120-d2631546-temp-0.3,1985.673033122667,1958.821569408386,2012.524496836948,0.3,1,True,log/arena_20260818_035858_741335_f255e7e6/run.json
arena_20260826_054944_814746_52d18cc7,27,gpt5.6-sol-high-codex-workspace,kata1-b6c96-s13733120-d2631546-temp-0.3,1985.6963480546694,1958.8505174456318,2012.542178663707,0.3,1,False,log/arena_20260826_054944_814746_52d18cc7/run.json
arena_20260826_185411_172712_18e992e8,8,gpt5.6-sol-max-codex-workspace,kata1-b6c96-s14649344-d2727367-temp-0.3,2084.909551060568,2057.849444591176,2111.96965752996,0.3,1,True,log/arena_20260826_185411_172712_18e992e8/run.json
arena_20260827_231719_610088_eb49a7a4,5,gpt5.6-sol-max-codex-workspace-continual,kata1-b6c96-s18429184-d3197121,2386.8553256048954,2358.2967649576,2415.413886252191,0.1,1,False,log/arena_20260827_231719_610088_eb49a7a4/run.json
arena_20260827_231719_610088_eb49a7a4,11,gpt5.6-sol-max-codex-workspace-continual,kata1-b6c96-s14649344-d2727367-temp-0.3,2084.823109563575,2057.7692461605984,2111.876972966552,0.3,1,False,log/arena_20260827_231719_610088_eb49a7a4/run.json
arena_20260827_231719_610088_eb49a7a4,12,gpt5.6-sol-max-codex-workspace-continual,kata1-b6c96-s14649344-d2727367-temp-0.3,2084.823109563575,2057.7692461605984,2111.876972966552,0.3,1,False,log/arena_20260827_231719_610088_eb49a7a4/run.json
