run,game,llm,color,pass_move,original_player,tested_player,elo,trials,passes,resignations,choices
arena_20260723_173702_334483_0c232340,5,gemini-3.1-pro-high-api,W,78,kata1-b6c96-s16525312-d2925067,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A1"": 1, ""B7"": 4, ""B9"": 1, ""C2"": 1, ""C3"": 2, ""D2"": 1, ""E1"": 1, ""G1"": 1, ""G8"": 4, ""H4"": 1, ""H8"": 2, ""J4"": 1}"
arena_20260723_205921_431630_42e71474,13,gpt5.6-sol-low-api,W,88,kata1-b6c96-s8982784-d2082583-temp-0.3,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A1"": 2, ""A2"": 1, ""A3"": 1, ""A6"": 2, ""A9"": 1, ""B1"": 3, ""B4"": 2, ""B7"": 2, ""B8"": 4, ""D9"": 1, ""H4"": 1}"
arena_20260731_044901_270838_7068701f,11,grok-4.5-high-api,W,84,kata1-b6c96-s6127360-d1754797,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A3"": 2, ""A4"": 1, ""A6"": 2, ""A7"": 1, ""A8"": 1, ""B1"": 3, ""B4"": 2, ""B6"": 1, ""C2"": 1, ""C9"": 1, ""F3"": 3, ""H8"": 1, ""J6"": 1}"
arena_20260807_184513_963568_b2aa1679,6,DeepSeek-V4-Flash-0731-high-api,B,85,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A1"": 1, ""B2"": 2, ""E1"": 3, ""G1"": 5, ""H2"": 2, ""J1"": 2, ""J2"": 5}"
arena_20260807_184513_963568_b2aa1679,13,DeepSeek-V4-Flash-0731-high-api,W,60,kata1-b6c96-s12849664-d2510774,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A2"": 1, ""A7"": 1, ""B1"": 2, ""B2"": 1, ""C1"": 1, ""C2"": 1, ""D3"": 1, ""D6"": 2, ""E1"": 1, ""E2"": 2, ""E9"": 1, ""F2"": 1, ""F3"": 1, ""F6"": 1, ""J1"": 1, ""J2"": 1, ""J3"": 1}"
arena_20260807_223534_789082_9ae5a490,10,kimi-k3-high-api,B,57,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A1"": 2, ""A6"": 1, ""A7"": 2, ""A9"": 1, ""B2"": 1, ""B9"": 1, ""C6"": 2, ""D2"": 1, ""E1"": 1, ""F1"": 3, ""F7"": 1, ""F8"": 2, ""G1"": 1, ""J2"": 1}"
arena_20260807_223534_789082_9ae5a490,19,muse-spark-1.2-openrouter-high-api,W,74,kata1-b6c96-s8080640-d1961030-temp-0.3,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A8"": 1, ""C1"": 4, ""C2"": 1, ""E1"": 1, ""E8"": 2, ""F1"": 1, ""F8"": 1, ""F9"": 1, ""G1"": 1, ""G9"": 1, ""H1"": 1, ""J5"": 3, ""J9"": 2}"
arena_20260807_223534_789082_9ae5a490,21,kimi-k3-high-api,W,74,kata1-b6c96-s8982784-d2082583,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A2"": 1, ""A3"": 1, ""A5"": 1, ""B4"": 1, ""B5"": 1, ""F5"": 2, ""F6"": 1, ""G6"": 2, ""H3"": 1, ""H5"": 1, ""H6"": 2, ""H8"": 1, ""H9"": 2, ""J3"": 2, ""J8"": 1}"
arena_20260817_065559_213696_f822d790,5,gpt5.6-luna-high-codex-workspace,W,68,kata1-b6c96-s6127360-d1754797-temp-0.9,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A2"": 1, ""A5"": 1, ""A7"": 4, ""C1"": 4, ""C2"": 2, ""D1"": 2, ""D2"": 1, ""E2"": 2, ""G3"": 1, ""H1"": 2}"
arena_20260826_054944_814746_52d18cc7,27,gpt5.6-sol-high-codex-workspace,W,58,kata1-b6c96-s13733120-d2631546-temp-0.3,kata1-b6c96-s1248000-d550347,107.0,20,0,0,"{""A1"": 1, ""A6"": 2, ""A8"": 2, ""A9"": 1, ""B6"": 2, ""B8"": 3, ""C3"": 1, ""C6"": 1, ""D3"": 1, ""F9"": 1, ""H3"": 3, ""H5"": 1, ""J3"": 1}"
