network,elo,num_passes/total
kata1-b6c96-s1248000-d550347,107.0,0/260
kata1-b6c96-s938496-d1208807,352.0,82/260
kata1-b6c96-s1995008-d1329786,552.0,27/260
kata1-b6c96-s4136960-d1510003,1116.0,0/260
kata1-b6c96-s5214720-d1690538,1180.0,64/260
kata1-b6c96-s6127360-d1754797,1261.0,78/260
kata1-b6c96-s8080640-d1961030,1539.0,82/260
kata1-b6c96-s8982784-d2082583,1588.0,111/260
kata1-b6c96-s10014464-d2201128,1669.0,136/260
kata1-b6c96-s10825472-d2300510,1759.0,146/260
kata1-b6c96-s11888896-d2416753,1835.0,156/260
kata1-b6c96-s12849664-d2510774,1960.0,97/260
kata1-b6c96-s13733120-d2631546,1997.0,143/260
kata1-b6c96-s14649344-d2727367,2127.0,159/260
kata1-b6c96-s15704832-d2832803,2181.0,163/260
kata1-b6c96-s16525312-d2925067,2261.0,127/260
kata1-b6c96-s17434112-d3038653,2327.0,105/260
kata1-b6c96-s18429184-d3197121,2402.0,74/260
kata1-b6c96-s19408128-d3280178,2473.0,64/260
kata1-b6c96-s20302336-d3388395,2510.0,49/260
kata1-b6c96-s21371392-d3529696,2598.0,45/260
kata1-b6c96-s22371328-d3612586,2622.0,50/260
kata1-b6c96-s23401472-d3742377,2656.0,45/260
kata1-b6c96-s24455424-d3879081,2712.0,51/260
kata1-b6c96-s25461504-d4002500,2738.0,53/260
kata1-b6c96-s26363136-d4119819,2758.0,53/260
kata1-b6c96-s27415296-d4256697,2807.0,32/260
kata1-b6c96-s28460288-d4388379,2832.0,33/260
kata1-b6c96-s29422336-d4533650,2855.0,34/260
kata1-b6c96-s31390976-d4781382,2882.0,33/260
kata1-b6c96-s30394624-d4635675,2885.0,27/260
kata1-b6c96-s32344832-d4917369,2922.0,24/260
kata1-b6c96-s33239552-d5016295,2939.0,16/260
kata1-b6c96-s35356160-d5299514,2965.0,8/260
kata1-b6c96-s37368064-d5536083,3006.0,19/260
kata1-b6c96-s39339776-d5828519,3033.0,31/260
kata1-b6c96-s41312768-d6061202,3056.0,44/260
kata1-b6c96-s43286272-d6326857,3084.0,30/260
kata1-b6c96-s45189632-d6589032,3087.0,8/260
kata1-b6c96-s46949632-d6822967,3099.0,3/260
kata1-b6c96-s48921344-d7092247,3128.0,8/260
kata1-b6c96-s50894592-d7380655,3135.0,1/260
kata1-b6c96-s52864512-d7635581,3136.0,7/260
kata1-b6c96-s56669696-d8173106,3164.0,2/260
kata1-b6c96-s55682304-d7995124,3169.0,4/260
kata1-b6c96-s63439616-d9138325,3185.0,2/260
kata1-b6c96-s59560704-d8589539,3197.0,0/260
kata1-b6c96-s65341184-d9428755,3206.0,0/260
kata1-b6c96-s69427456-d10051148,3216.0,3/260
kata1-b6c96-s78659584-d11478487,3245.0,0/260
kata1-b6c96-s73091584-d10630987,3246.0,0/260
kata1-b6c96-s89508352-d13124432,3266.0,0/260
kata1-b6c96-s83588096-d12203675,3266.0,0/260
kata1-b6c96-s95425792-d14091095,3278.0,0/260
kata1-b6c96-s108812288-d16129874,3287.0,0/260
kata1-b6c96-s103950080-d15368530,3293.0,0/260
kata1-b6c96-s115648256-d17228996,3308.0,0/260
kata1-b6c96-s130521856-d19523626,3314.0,0/260
kata1-b6c96-s141089536-d21243181,3319.0,0/260
kata1-b6c96-s122554112-d18283013,3321.0,0/260
kata1-b6c96-s165180416-d25130434,3330.0,0/260
kata1-b6c96-s152505856-d23152636,3331.0,0/260
kata1-b6c96-s175395328-d26788732,3349.0,0/260
