run,game,llm,color,pass_move,original_player,tested_player,elo,trials,passes,resignations,choices
arena_20260723_173702_334483_0c232340,5,gemini-3.1-pro-high-api,W,78,kata1-b6c96-s16525312-d2925067,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,4,0,"{""A7"": 1, ""A9"": 1, ""B8"": 1, ""D3"": 1, ""D8"": 2, ""G1"": 1, ""G8"": 1, ""H4"": 2, ""H8"": 3, ""J4"": 1, ""J8"": 2, ""pass"": 4}"
arena_20260723_205921_431630_42e71474,13,gpt5.6-sol-low-api,W,88,kata1-b6c96-s8982784-d2082583-temp-0.3,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,6,0,"{""A3"": 1, ""A7"": 1, ""A9"": 1, ""B1"": 1, ""B7"": 2, ""B8"": 2, ""D9"": 1, ""G5"": 1, ""G6"": 2, ""H3"": 2, ""pass"": 6}"
arena_20260731_044901_270838_7068701f,11,grok-4.5-high-api,W,84,kata1-b6c96-s6127360-d1754797,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,3,0,"{""A2"": 1, ""A3"": 1, ""A5"": 1, ""A7"": 1, ""A8"": 3, ""B1"": 1, ""B4"": 1, ""B6"": 1, ""C9"": 1, ""F3"": 2, ""H6"": 1, ""H7"": 1, ""J6"": 1, ""J7"": 1, ""pass"": 3}"
arena_20260807_184513_963568_b2aa1679,6,DeepSeek-V4-Flash-0731-high-api,B,85,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,0,0,"{""A1"": 1, ""B2"": 2, ""E1"": 6, ""G1"": 6, ""J2"": 5}"
arena_20260807_184513_963568_b2aa1679,13,DeepSeek-V4-Flash-0731-high-api,W,60,kata1-b6c96-s12849664-d2510774,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,1,0,"{""A1"": 1, ""A2"": 1, ""A9"": 1, ""B2"": 1, ""D1"": 1, ""D2"": 3, ""D3"": 1, ""D6"": 1, ""E3"": 3, ""F3"": 1, ""G2"": 1, ""H2"": 1, ""H3"": 2, ""J2"": 1, ""pass"": 1}"
arena_20260807_223534_789082_9ae5a490,10,kimi-k3-high-api,B,57,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,0,0,"{""A6"": 1, ""A7"": 1, ""A9"": 1, ""B1"": 1, ""B2"": 2, ""B9"": 1, ""C6"": 2, ""D1"": 2, ""D2"": 1, ""E1"": 1, ""F7"": 1, ""G2"": 1, ""H1"": 1, ""H2"": 1, ""J7"": 1, ""J8"": 2}"
arena_20260807_223534_789082_9ae5a490,19,muse-spark-1.2-openrouter-high-api,W,74,kata1-b6c96-s8080640-d1961030-temp-0.3,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,2,0,"{""A8"": 1, ""B1"": 1, ""C1"": 3, ""E1"": 1, ""F1"": 3, ""F8"": 2, ""G9"": 1, ""H1"": 2, ""J7"": 3, ""J9"": 1, ""pass"": 2}"
arena_20260807_223534_789082_9ae5a490,21,kimi-k3-high-api,W,74,kata1-b6c96-s8982784-d2082583,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,8,0,"{""A1"": 1, ""A2"": 1, ""A3"": 1, ""A6"": 1, ""B5"": 1, ""C2"": 1, ""C9"": 1, ""F5"": 1, ""H2"": 1, ""H5"": 2, ""J8"": 1, ""pass"": 8}"
arena_20260817_065559_213696_f822d790,5,gpt5.6-luna-high-codex-workspace,W,68,kata1-b6c96-s6127360-d1754797-temp-0.9,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,0,0,"{""A2"": 1, ""A5"": 1, ""A7"": 4, ""B1"": 1, ""C1"": 3, ""C2"": 1, ""D1"": 2, ""D2"": 4, ""G3"": 1, ""H1"": 2}"
arena_20260826_054944_814746_52d18cc7,27,gpt5.6-sol-high-codex-workspace,W,58,kata1-b6c96-s13733120-d2631546-temp-0.3,kata1-b6c96-s8080640-d1961030-temp-0.7,1011.0,20,0,0,"{""A9"": 1, ""B6"": 1, ""C3"": 1, ""C6"": 2, ""D3"": 6, ""H4"": 4, ""J3"": 1, ""J4"": 1, ""J5"": 1, ""J6"": 2}"
