run,game,llm,color,pass_move,original_player,tested_player,elo,trials,passes,resignations,choices
arena_20260723_173702_334483_0c232340,5,gemini-3.1-pro-high-api,W,78,kata1-b6c96-s16525312-d2925067,kata1-b6c96-s8080640-d1961030,1539.0,20,20,0,"{""pass"": 20}"
arena_20260723_205921_431630_42e71474,13,gpt5.6-sol-low-api,W,88,kata1-b6c96-s8982784-d2082583-temp-0.3,kata1-b6c96-s8080640-d1961030,1539.0,20,20,0,"{""pass"": 20}"
arena_20260731_044901_270838_7068701f,11,grok-4.5-high-api,W,84,kata1-b6c96-s6127360-d1754797,kata1-b6c96-s8080640-d1961030,1539.0,20,5,0,"{""A8"": 15, ""pass"": 5}"
arena_20260807_184513_963568_b2aa1679,6,DeepSeek-V4-Flash-0731-high-api,B,85,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s8080640-d1961030,1539.0,20,0,0,"{""E1"": 19, ""J2"": 1}"
arena_20260807_184513_963568_b2aa1679,13,DeepSeek-V4-Flash-0731-high-api,W,60,kata1-b6c96-s12849664-d2510774,kata1-b6c96-s8080640-d1961030,1539.0,20,0,0,"{""C2"": 1, ""D3"": 1, ""E3"": 14, ""F3"": 1, ""G2"": 1, ""H3"": 2}"
arena_20260807_223534_789082_9ae5a490,10,kimi-k3-high-api,B,57,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s8080640-d1961030,1539.0,20,0,0,"{""H9"": 1, ""J7"": 19}"
arena_20260807_223534_789082_9ae5a490,19,muse-spark-1.2-openrouter-high-api,W,74,kata1-b6c96-s8080640-d1961030-temp-0.3,kata1-b6c96-s8080640-d1961030,1539.0,20,16,0,"{""G1"": 1, ""H1"": 2, ""J7"": 1, ""pass"": 16}"
arena_20260807_223534_789082_9ae5a490,21,kimi-k3-high-api,W,74,kata1-b6c96-s8982784-d2082583,kata1-b6c96-s8080640-d1961030,1539.0,20,20,0,"{""pass"": 20}"
arena_20260817_065559_213696_f822d790,5,gpt5.6-luna-high-codex-workspace,W,68,kata1-b6c96-s6127360-d1754797-temp-0.9,kata1-b6c96-s8080640-d1961030,1539.0,20,0,0,"{""A7"": 1, ""C2"": 3, ""D2"": 2, ""E2"": 2, ""G3"": 3, ""H1"": 9}"
arena_20260826_054944_814746_52d18cc7,27,gpt5.6-sol-high-codex-workspace,W,58,kata1-b6c96-s13733120-d2631546-temp-0.3,kata1-b6c96-s8080640-d1961030,1539.0,20,0,0,"{""D3"": 20}"
arena_20260827_231719_610088_eb49a7a4,5,gpt5.6-sol-max-codex-workspace-continual,W,80,kata1-b6c96-s18429184-d3197121,kata1-b6c96-s8080640-d1961030,1539.0,20,0,0,"{""C6"": 20}"
arena_20260827_231719_610088_eb49a7a4,11,gpt5.6-sol-max-codex-workspace-continual,W,56,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b6c96-s8080640-d1961030,1539.0,20,0,0,"{""A9"": 11, ""B5"": 6, ""H4"": 3}"
arena_20260827_231719_610088_eb49a7a4,12,gpt5.6-sol-max-codex-workspace-continual,B,59,kata1-b6c96-s14649344-d2727367-temp-0.3,kata1-b6c96-s8080640-d1961030,1539.0,20,1,0,"{""B2"": 2, ""B3"": 2, ""B4"": 1, ""B5"": 2, ""B6"": 1, ""B7"": 1, ""B8"": 3, ""F6"": 2, ""F7"": 4, ""J9"": 1, ""pass"": 1}"
arena_20260723_173702_334483_0c232340,5,gemini-3.1-pro-high-api,W,78,kata1-b6c96-s16525312-d2925067,kata1-b6c96-s13733120-d2631546,1997.0,20,20,0,"{""pass"": 20}"
arena_20260723_205921_431630_42e71474,13,gpt5.6-sol-low-api,W,88,kata1-b6c96-s8982784-d2082583-temp-0.3,kata1-b6c96-s13733120-d2631546,1997.0,20,17,0,"{""A9"": 1, ""B8"": 2, ""pass"": 17}"
arena_20260731_044901_270838_7068701f,11,grok-4.5-high-api,W,84,kata1-b6c96-s6127360-d1754797,kata1-b6c96-s13733120-d2631546,1997.0,20,12,0,"{""A8"": 8, ""pass"": 12}"
arena_20260807_184513_963568_b2aa1679,6,DeepSeek-V4-Flash-0731-high-api,B,85,kata1-b6c96-s11888896-d2416753-temp-0.5,kata1-b6c96-s13733120-d2631546,1997.0,20,13,0,"{""E1"": 4, ""G1"": 3, ""pass"": 13}"
