model,color_parameters_max,weighted_train_log_loss,weighted_test_log_loss,all_repeats_converged
piecewise_linear_1500,4,0.3657989440640457,0.36638191557617417,True
quadratic,3,0.36599002854664997,0.3664045929716105,True
piecewise_constant_500,9,0.365694767756734,0.3666585106205412,True
negative_exponential,2,0.3661508441752322,0.36678498380541963,True
cubic_spline,8,0.36530450626798106,0.3673811771885306,True
piecewise_linear_500,10,0.3653065148030709,0.3675541196069268,True
piecewise_constant_250,17,0.3652071969128918,0.3676218695335068,True
piecewise_linear_250,18,0.3648879853605359,0.3676473403877357,True
global_color,1,0.3682530043719197,0.3676771887386907,True
no_color,0,0.370945184221774,0.369912290472363,True
piecewise_linear_100,44,0.3643938344358703,0.38822654386905153,True
piecewise_linear_1,4270,0.35213021158065594,0.4893963109762212,True
