game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,kata1-b6c96-s6127360-d1754797-temp-0.9,kata1-b6c96-s83588096-d12203675,W+R,kata1-b6c96-s83588096-d12203675,0,51,katago_match,0,0,0,0.000000,0.000000000000
2,1,kata1-b6c96-s10014464-d2201128-temp-0.9,kata1-b15c192-s315428352-d115173910,W+R,kata1-b15c192-s315428352-d115173910,0,45,katago_match,0,0,0,0.000000,0.000000000000
3,1,kata1-b6c96-s37368064-d5536083,kata1-b6c96-s33239552-d5016295,B+R,kata1-b6c96-s37368064-d5536083,1,40,katago_match,0,0,0,0.000000,0.000000000000
4,1,kata1-b60c320-s6678602752-d3043834427,kata1-b6c96-s31390976-d4781382,B+R,kata1-b60c320-s6678602752-d3043834427,1,46,katago_match,0,0,0,0.000000,0.000000000000
5,1,kata1-b6c96-s8982784-d2082583-temp-0.3,kata1-b6c96-s130521856-d19523626,W+R,kata1-b6c96-s130521856-d19523626,0,23,katago_match,0,0,0,0.000000,0.000000000000
6,1,kata1-b6c96-s1995008-d1329786-temp-0.3,kata1-b40c256-s8049900800-d1952632576,W+88,kata1-b40c256-s8049900800-d1952632576,0,102,katago_match,0,0,0,0.000000,0.000000000000
7,1,kata1-b15c192-s315428352-d115173910,kata1-b6c96-s6127360-d1754797,B+R,kata1-b15c192-s315428352-d115173910,1,52,katago_match,0,0,0,0.000000,0.000000000000
8,1,kata1-b6c96-s4136960-d1510003-temp-0.7,kata1-b6c96-s89508352-d13124432,W+R,kata1-b6c96-s89508352-d13124432,0,61,katago_match,0,0,0,0.000000,0.000000000000
9,1,kata1-b6c96-s26363136-d4119819,kata1-b6c96-s5214720-d1690538,B+R,kata1-b6c96-s26363136-d4119819,1,66,katago_match,0,0,0,0.000000,0.000000000000
10,1,kata1-b10c128-s182492416-d63545831,kata1-b6c96-s115648256-d17228996,B+R,kata1-b10c128-s182492416-d63545831,1,36,katago_match,0,0,0,0.000000,0.000000000000
11,1,kata1-b6c96-s4136960-d1510003-temp-0.5,kata1-b15c192-s315428352-d115173910,W+R,kata1-b15c192-s315428352-d115173910,0,67,katago_match,0,0,0,0.000000,0.000000000000
12,1,kata1-b6c96-s46949632-d6822967,kata1-b6c96-s26363136-d4119819,W+4,kata1-b6c96-s26363136-d4119819,0,63,katago_match,0,0,0,0.000000,0.000000000000
13,1,kata1-b6c96-s1995008-d1329786-temp-0.3,kata1-b6c96-s56669696-d8173106,W+88,kata1-b6c96-s56669696-d8173106,0,88,katago_match,0,0,0,0.000000,0.000000000000
14,1,kata1-b6c96-s56669696-d8173106,kata1-b6c96-s10825472-d2300510,B+R,kata1-b6c96-s56669696-d8173106,1,56,katago_match,0,0,0,0.000000,0.000000000000
15,1,kata1-random,kata1-b20c256x2-s3354994176-d716845198,B+1.0,kata1-random,1,51,uniform_random,0,0,0,0.000000,0.000000000000
16,1,kata1-b6c96-s938496-d1208807-temp-0.3,kata1-b6c96-s122554112-d18283013,W+74,kata1-b6c96-s122554112-d18283013,0,87,katago_match,0,0,0,0.000000,0.000000000000
17,1,kata1-b28c512nbt-s12313658112-d5687582971,kata1-b6c96-s13733120-d2631546,B+R,kata1-b28c512nbt-s12313658112-d5687582971,1,64,katago_match,0,0,0,0.000000,0.000000000000
18,1,kata1-b6c96-s30394624-d4635675,kata1-b6c96-s8080640-d1961030,B+R,kata1-b6c96-s30394624-d4635675,1,30,katago_match,0,0,0,0.000000,0.000000000000
19,1,kata1-b6c96-s89508352-d13124432,kata1-b6c96-s5214720-d1690538,B+R,kata1-b6c96-s89508352-d13124432,1,70,katago_match,0,0,0,0.000000,0.000000000000
20,1,kata1-b6c96-s1995008-d1329786-temp-0.9,kata1-b6c96-s5214720-d1690538,W+7,kata1-b6c96-s5214720-d1690538,0,4,katago_match,0,0,0,0.000000,0.000000000000
21,1,kata1-b6c96-s8982784-d2082583-temp-0.5,kata1-b6c96-s20302336-d3388395,W+R,kata1-b6c96-s20302336-d3388395,0,47,katago_match,0,0,0,0.000000,0.000000000000
22,1,kata1-b6c96-s10014464-d2201128-temp-0.9,kata1-b6c96-s83588096-d12203675,W+R,kata1-b6c96-s83588096-d12203675,0,33,katago_match,0,0,0,0.000000,0.000000000000
23,1,kata1-b6c96-s4136960-d1510003-temp-0.7,kata1-b6c96-s28460288-d4388379,W+R,kata1-b6c96-s28460288-d4388379,0,57,katago_match,0,0,0,0.000000,0.000000000000
24,1,kata1-b6c96-s55682304-d7995124,kata1-b6c96-s43286272-d6326857,B+R,kata1-b6c96-s55682304-d7995124,1,34,katago_match,0,0,0,0.000000,0.000000000000
25,1,kata1-b6c96-s4136960-d1510003,kata1-b10c128-s501483520-d110698189,W+R,kata1-b10c128-s501483520-d110698189,0,73,katago_match,0,0,0,0.000000,0.000000000000
26,1,kata1-b6c96-s4136960-d1510003-temp-0.5,kata1-b6c96-s13733120-d2631546,W+R,kata1-b6c96-s13733120-d2631546,0,73,katago_match,0,0,0,0.000000,0.000000000000
27,1,kata1-b6c96-s73091584-d10630987,kata1-b6c96-s8982784-d2082583,B+R,kata1-b6c96-s73091584-d10630987,1,24,katago_match,0,0,0,0.000000,0.000000000000
28,1,kata1-b6c96-s10014464-d2201128-temp-0.9,kata1-b10c128-s41138688-d27396855,W+R,kata1-b10c128-s41138688-d27396855,0,43,katago_match,0,0,0,0.000000,0.000000000000
29,1,kata1-b10c128-s82632704-d37596868,kata1-b6c96-s938496-d1208807,B+74,kata1-b10c128-s82632704-d37596868,1,91,katago_match,0,0,0,0.000000,0.000000000000
30,1,kata1-b6c96-s1995008-d1329786-temp-0.3,kata1-b15c192-s798345984-d202388589,W+88,kata1-b15c192-s798345984-d202388589,0,90,katago_match,0,0,0,0.000000,0.000000000000
31,1,kata1-b28c512nbt-s7229617920-d4333415784,kata1-b6c96-s24455424-d3879081,B+R,kata1-b28c512nbt-s7229617920-d4333415784,1,72,katago_match,0,0,0,0.000000,0.000000000000
32,1,kata1-b10c128-s146897408-d54258564,kata1-b6c96-s10014464-d2201128,B+R,kata1-b10c128-s146897408-d54258564,1,60,katago_match,0,0,0,0.000000,0.000000000000
33,1,kata1-b6c96-s152505856-d23152636,kata1-b6c96-s141089536-d21243181,W+R,kata1-b6c96-s141089536-d21243181,0,35,katago_match,0,0,0,0.000000,0.000000000000
34,1,kata1-zhizi-b40c768nbt-fdx6c,kata1-b6c96-s22371328-d3612586,B+R,kata1-zhizi-b40c768nbt-fdx6c,1,48,katago_match,0,0,0,0.000000,0.000000000000
35,1,kata1-b40c256-s5793846528-d1395151722,kata1-b6c96-s37368064-d5536083,B+R,kata1-b40c256-s5793846528-d1395151722,1,54,katago_match,0,0,0,0.000000,0.000000000000
36,1,kata1-b20c256x2-s1610809600-d384128195,kata1-b6c96-s31390976-d4781382,B+R,kata1-b20c256x2-s1610809600-d384128195,1,38,katago_match,0,0,0,0.000000,0.000000000000
37,1,kata1-b28c512nbt-s7229617920-d4333415784,kata1-b18c384nbt-s9761732864-d4253420187,0,,0.5,37,katago_match,0,0,0,0.000000,0.000000000000
38,1,kata1-b6c96-s1995008-d1329786-temp-0.9,kata1-b6c96-s59560704-d8589539,W+88,kata1-b6c96-s59560704-d8589539,0,86,katago_match,0,0,0,0.000000,0.000000000000
39,1,kata1-b6c96-s50894592-d7380655,kata1-b6c96-s14649344-d2727367,B+8,kata1-b6c96-s50894592-d7380655,1,55,katago_match,0,0,0,0.000000,0.000000000000
40,1,kata1-b40c256x2-s4120339456-d1045882697,kata1-b20c256x2-s668214784-d222255714,0,,0.5,46,katago_match,0,0,0,0.000000,0.000000000000
41,1,kata1-b6c96-s4136960-d1510003-temp-0.5,kata1-b6c96-s31390976-d4781382,W+R,kata1-b6c96-s31390976-d4781382,0,59,katago_match,0,0,0,0.000000,0.000000000000
42,1,kata1-b6c96-s1995008-d1329786-temp-0.9,kata1-b6c96-s12849664-d2510774,W+45,kata1-b6c96-s12849664-d2510774,0,107,katago_match,0,0,0,0.000000,0.000000000000
43,1,kata1-b6c96-s4136960-d1510003-temp-0.3,kata1-b10c128-s182492416-d63545831,W+R,kata1-b10c128-s182492416-d63545831,0,51,katago_match,0,0,0,0.000000,0.000000000000
44,1,kata1-b6c96-s103950080-d15368530,kata1-b6c96-s89508352-d13124432,0,,0.5,53,katago_match,0,0,0,0.000000,0.000000000000
45,1,kata1-b6c96-s4136960-d1510003,kata1-b6c96-s89508352-d13124432,W+R,kata1-b6c96-s89508352-d13124432,0,47,katago_match,0,0,0,0.000000,0.000000000000
46,1,kata1-b6c96-s175395328-d26788732,kata1-b6c96-s65341184-d9428755,B+R,kata1-b6c96-s175395328-d26788732,1,38,katago_match,0,0,0,0.000000,0.000000000000
47,1,kata1-b6c96-s14649344-d2727367,kata1-b6c96-s1248000-d550347,B+74,kata1-b6c96-s14649344-d2727367,1,90,katago_match,0,0,0,0.000000,0.000000000000
48,1,kata1-b10c128-s258941696-d77667876,kata1-b6c96-s1995008-d1329786,B+74,kata1-b10c128-s258941696-d77667876,1,109,katago_match,0,0,0,0.000000,0.000000000000
49,1,kata1-b6c96-s175395328-d26788732,kata1-b6c96-s65341184-d9428755,W+R,kata1-b6c96-s65341184-d9428755,0,39,katago_match,0,0,0,0.000000,0.000000000000
50,1,kata1-b6c96-s4136960-d1510003-temp-0.9,kata1-b28c512nbt-s8566598912-d4691918754,W+R,kata1-b28c512nbt-s8566598912-d4691918754,0,57,katago_match,0,0,0,0.000000,0.000000000000
