game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,kata1-b60c320-s6678602752-d3043834427,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,0,,0.5,77,katago_match,0,0,0,0.000000,0.000000000000
2,1,kata1-b40c256x2-s4120339456-d1045882697,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,0,43,katago_match,0,0,0,0.000000,0.000000000000
3,1,kata1-b10c128-s108710656-d44395882,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,0,43,katago_match,0,0,0,0.000000,0.000000000000
4,1,kata1-b40c256-s5793846528-d1395151722,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,0,29,katago_match,0,0,0,0.000000,0.000000000000
5,1,kata1-b28c512nbt-s8566598912-d4691918754-playouts60,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,0,,0.5,70,katago_match,0,0,0,0.000000,0.000000000000
6,1,kata1-b28c512nbt-s7229617920-d4333415784,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,0,85,katago_match,0,0,0,0.000000,0.000000000000
7,1,kata1-b20c256x2-s1039565568-d285739972,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,0,45,katago_match,0,0,0,0.000000,0.000000000000
8,1,kata1-b18c384nbt-s9761732864-d4253420187,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,0,,0.5,42,katago_match,0,0,0,0.000000,0.000000000000
9,1,kata1-b10c128-s41138688-d27396855,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,W+R,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,0,55,katago_match,0,0,0,0.000000,0.000000000000
10,1,kata1-b15c192-s1062526208-d272346422,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,0,35,katago_match,0,0,0,0.000000,0.000000000000
11,1,kata1-b40c256-s11840935168-d2898845681,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,0,65,katago_match,0,0,0,0.000000,0.000000000000
12,1,kata1-b10c128-s146897408-d54258564,kata1-b28c512nbt-s8566598912-d4691918754-playouts60,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts60,0,47,katago_match,0,0,0,0.000000,0.000000000000
13,1,kata1-b28c512nbt-s7229617920-d4333415784,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,0,39,katago_match,0,0,0,0.000000,0.000000000000
14,1,kata1-b10c128-s182492416-d63545831,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,0,55,katago_match,0,0,0,0.000000,0.000000000000
15,1,kata1-b28c512nbt-s8566598912-d4691918754,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,W+R,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,0,55,katago_match,0,0,0,0.000000,0.000000000000
16,1,kata1-b28c512nbt-s7229617920-d4333415784,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,0,,0.5,57,katago_match,0,0,0,0.000000,0.000000000000
17,1,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,0,,0.5,59,katago_match,0,0,0,0.000000,0.000000000000
18,1,kata1-b10c128-s56992512-d31122236,kata1-b28c512nbt-s12313658112-d5687582971-playouts600,W+R,kata1-b28c512nbt-s12313658112-d5687582971-playouts600,0,71,katago_match,0,0,0,0.000000,0.000000000000
19,1,kata1-b15c192-s172540416-d88080224,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,0,69,katago_match,0,0,0,0.000000,0.000000000000
20,1,kata1-b28c512nbt-s12313658112-d5687582971,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,0,53,katago_match,0,0,0,0.000000,0.000000000000
21,1,kata1-b28c512nbt-s12313658112-d5687582971-playouts600,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,0,43,katago_match,0,0,0,0.000000,0.000000000000
22,1,kata1-b40c256x2-s4120339456-d1045882697,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,0,37,katago_match,0,0,0,0.000000,0.000000000000
23,1,kata1-b18c384nbt-s9761732864-d4253420187,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,0,,0.5,56,katago_match,0,0,0,0.000000,0.000000000000
24,1,kata1-b10c128-s182492416-d63545831,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,0,51,katago_match,0,0,0,0.000000,0.000000000000
25,1,kata1-b40c256x2-s4120339456-d1045882697,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,0,37,katago_match,0,0,0,0.000000,0.000000000000
26,1,kata1-b40c256-s11840935168-d2898845681,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,0,55,katago_match,0,0,0,0.000000,0.000000000000
27,1,kata1-b10c128-s501483520-d110698189,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,0,29,katago_match,0,0,0,0.000000,0.000000000000
28,1,kata1-b40c256x2-s4120339456-d1045882697,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,0,23,katago_match,0,0,0,0.000000,0.000000000000
29,1,kata1-b20c256-s241116160-d150094945,kata1-b28c512nbt-s8566598912-d4691918754-playouts60,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts60,0,25,katago_match,0,0,0,0.000000,0.000000000000
30,1,kata1-b28c512nbt-s7229617920-d4333415784,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,0,71,katago_match,0,0,0,0.000000,0.000000000000
31,1,kata1-b40c256-s5793846528-d1395151722,kata1-b28c512nbt-s8566598912-d4691918754-playouts60,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts60,0,35,katago_match,0,0,0,0.000000,0.000000000000
32,1,kata1-b15c192-s798345984-d202388589,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,0,39,katago_match,0,0,0,0.000000,0.000000000000
33,1,kata1-b15c192-s449394432-d140458288,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,W+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,0,37,katago_match,0,0,0,0.000000,0.000000000000
34,1,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,B+R,kata1-b28c512nbt-s8566598912-d4691918754-playouts600,1,64,katago_match,0,0,0,0.000000,0.000000000000
35,1,kata1-b20c256x2-s5055114240-d1149032340,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,W+R,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,0,51,katago_match,0,0,0,0.000000,0.000000000000
36,1,kata1-b20c256x2-s2430231552-d525879064,kata1-b28c512nbt-s12313658112-d5687582971-playouts600,W+R,kata1-b28c512nbt-s12313658112-d5687582971-playouts600,0,41,katago_match,0,0,0,0.000000,0.000000000000
37,1,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,0,65,katago_match,0,0,0,0.000000,0.000000000000
38,1,kata1-b28c512nbt-s12313658112-d5687582971,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,0,,0.5,47,katago_match,0,0,0,0.000000,0.000000000000
39,1,kata1-b10c128-s258941696-d77667876,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,0,27,katago_match,0,0,0,0.000000,0.000000000000
40,1,kata1-b20c256x2-s5055114240-d1149032340,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,0,41,katago_match,0,0,0,0.000000,0.000000000000
41,1,kata1-b40c256-s11840935168-d2898845681,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,0,43,katago_match,0,0,0,0.000000,0.000000000000
42,1,kata1-b28c512nbt-s12313658112-d5687582971,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,0,47,katago_match,0,0,0,0.000000,0.000000000000
43,1,kata1-b40c256-s8049900800-d1952632576,kata1-b28c512nbt-s7229617920-d4333415784-playouts60,0,,0.5,40,katago_match,0,0,0,0.000000,0.000000000000
44,1,kata1-b15c192-s230670592-d99188084,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts60,0,47,katago_match,0,0,0,0.000000,0.000000000000
45,1,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,kata1-b28c512nbt-s12313658112-d5687582971-playouts600,W+R,kata1-b28c512nbt-s12313658112-d5687582971-playouts600,0,53,katago_match,0,0,0,0.000000,0.000000000000
46,1,kata1-b15c192-s449394432-d140458288,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,W+R,kata1-b28c512nbt-s12313658112-d5687582971-playouts60,0,49,katago_match,0,0,0,0.000000,0.000000000000
47,1,kata1-b6c96-s152505856-d23152636,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,W+R,kata1-b18c384nbt-s9761732864-d4253420187-playouts600,0,61,katago_match,0,0,0,0.000000,0.000000000000
48,1,kata1-b15c192-s1062526208-d272346422,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,W+R,kata1-b28c512nbt-s7229617920-d4333415784-playouts600,0,37,katago_match,0,0,0,0.000000,0.000000000000
