game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,gemini-3.1-pro-high-api-multi,kata1-b6c96-s8080640-d1961030-temp-0.7,B+R,gemini-3.1-pro-high-api-multi,1,40,google_interactions_api,20,0,0,851.364782,1.337886800000
2,1,kata1-b6c96-s8080640-d1961030-temp-0.7,gemini-3.1-pro-high-api-multi,W+R,gemini-3.1-pro-high-api-multi,0,49,google_interactions_api,24,0,0,929.882435,1.421523200000
3,2,gemini-3.1-pro-high-api-multi,kata1-b6c96-s11888896-d2416753-temp-0.5,B+4.0,gemini-3.1-pro-high-api-multi,1,85,google_interactions_api,43,0,0,1602.220631,2.473237000000
4,2,kata1-b6c96-s11888896-d2416753-temp-0.5,gemini-3.1-pro-high-api-multi,W+4.0,gemini-3.1-pro-high-api-multi,0,64,google_interactions_api,32,0,0,1853.448415,2.766988200000
5,3,gemini-3.1-pro-high-api-multi,kata1-b6c96-s18429184-d3197121,W+16.0,kata1-b6c96-s18429184-d3197121,0,59,google_interactions_api,30,0,0,653.703918,1.033010400000
6,3,kata1-b6c96-s18429184-d3197121,gemini-3.1-pro-high-api-multi,B+16.0,kata1-b6c96-s18429184-d3197121,1,67,google_interactions_api,33,0,0,2170.896968,3.371030400000
7,4,gemini-3.1-pro-high-api-multi,kata1-b6c96-s14649344-d2727367-temp-0.3,W+88.0,kata1-b6c96-s14649344-d2727367-temp-0.3,0,92,google_interactions_api,46,0,0,799.635557,1.382516600000
8,4,kata1-b6c96-s14649344-d2727367-temp-0.3,gemini-3.1-pro-high-api-multi,B+36.0,kata1-b6c96-s14649344-d2727367-temp-0.3,1,86,google_interactions_api,43,0,0,1087.700147,1.779764200000
9,5,gemini-3.1-pro-high-api-multi,kata1-b6c96-s12849664-d2510774-temp-0.5,W+12.0,kata1-b6c96-s12849664-d2510774-temp-0.5,0,83,google_interactions_api,42,0,0,1779.573456,2.762599400000
10,5,kata1-b6c96-s12849664-d2510774-temp-0.5,gemini-3.1-pro-high-api-multi,B+26.0,kata1-b6c96-s12849664-d2510774-temp-0.5,1,103,google_interactions_api,51,0,0,2573.204214,4.007320800000
11,6,gemini-3.1-pro-high-api-multi,kata1-b6c96-s10825472-d2300510,B+R,gemini-3.1-pro-high-api-multi,1,38,google_interactions_api,19,0,0,644.542221,1.046593200000
12,6,kata1-b6c96-s10825472-d2300510,gemini-3.1-pro-high-api-multi,W+4.0,gemini-3.1-pro-high-api-multi,0,88,google_interactions_api,44,0,0,1700.706979,2.482336000000
13,7,gemini-3.1-pro-high-api-multi,kata1-b6c96-s12849664-d2510774-temp-0.5,W+16.0,kata1-b6c96-s12849664-d2510774-temp-0.5,0,86,google_interactions_api,43,0,0,1651.488751,2.605140000000
14,7,kata1-b6c96-s12849664-d2510774-temp-0.5,gemini-3.1-pro-high-api-multi,W+8.0,gemini-3.1-pro-high-api-multi,0,82,google_interactions_api,41,0,0,1640.572098,2.616577400000
15,8,gemini-3.1-pro-high-api-multi,kata1-b6c96-s12849664-d2510774-temp-0.5,B+1.0,gemini-3.1-pro-high-api-multi,1,63,google_interactions_api,32,0,0,836.895771,1.330967400000
16,8,kata1-b6c96-s12849664-d2510774-temp-0.5,gemini-3.1-pro-high-api-multi,B+36.0,kata1-b6c96-s12849664-d2510774-temp-0.5,1,76,google_interactions_api,38,0,0,2337.464828,3.521179600000
17,9,gemini-3.1-pro-high-api-multi,kata1-b6c96-s12849664-d2510774-temp-0.5,W+22.0,kata1-b6c96-s12849664-d2510774-temp-0.5,0,96,google_interactions_api,48,1,0,3036.477845,4.626623600000
18,9,kata1-b6c96-s12849664-d2510774-temp-0.5,gemini-3.1-pro-high-api-multi,B+18.0,kata1-b6c96-s12849664-d2510774-temp-0.5,1,93,google_interactions_api,46,0,0,1375.650640,2.170404000000
19,10,gemini-3.1-pro-high-api-multi,kata1-b6c96-s11888896-d2416753,B+R,gemini-3.1-pro-high-api-multi,1,76,google_interactions_api,38,0,0,1758.203496,2.747871200000
20,10,kata1-b6c96-s11888896-d2416753,gemini-3.1-pro-high-api-multi,B+22.0,kata1-b6c96-s11888896-d2416753,1,101,google_interactions_api,50,0,0,1726.671853,2.793407000000
