game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,gpt5.6-sol-high-codex-4h,kata1-b6c96-s18429184-d3197121,W+T,kata1-b6c96-s18429184-d3197121,0,48,openai_codex_workspace_agent,24,0,0,1800.641181,3.331964000000
2,1,kata1-b6c96-s18429184-d3197121,gpt5.6-sol-high-codex-4h,B+T,kata1-b6c96-s18429184-d3197121,1,29,openai_codex_workspace_agent,14,0,0,1800.298942,1.151189600000
3,2,gpt5.6-sol-high-codex-4h,kata1-b6c96-s14649344-d2727367-temp-0.9,B+R,gpt5.6-sol-high-codex-4h,1,60,openai_codex_workspace_agent,30,0,0,1726.892728,3.884248800000
4,2,kata1-b6c96-s14649344-d2727367-temp-0.9,gpt5.6-sol-high-codex-4h,B+T,kata1-b6c96-s14649344-d2727367-temp-0.9,1,33,openai_codex_workspace_agent,16,0,0,1800.232396,2.478414400000
5,3,gpt5.6-sol-high-codex-4h,kata1-b6c96-s14649344-d2727367-temp-0.9,B+R,gpt5.6-sol-high-codex-4h,1,52,openai_codex_workspace_agent,26,0,0,1718.849609,3.989936800000
6,3,kata1-b6c96-s14649344-d2727367-temp-0.9,gpt5.6-sol-high-codex-4h,B+T,kata1-b6c96-s14649344-d2727367-temp-0.9,1,51,openai_codex_workspace_agent,25,0,0,1800.393625,3.586724000000
7,4,gpt5.6-sol-high-codex-4h,kata1-b6c96-s14649344-d2727367-temp-0.9,B+R,gpt5.6-sol-high-codex-4h,1,24,openai_codex_workspace_agent,12,0,0,1003.778242,2.597312000000
8,4,kata1-b6c96-s14649344-d2727367-temp-0.9,gpt5.6-sol-high-codex-4h,B+F,kata1-b6c96-s14649344-d2727367-temp-0.9,1,1,openai_codex_workspace_agent,0,0,0,439.055082,1.587216800000
9,5,gpt5.6-sol-high-codex-4h,kata1-b6c96-s10014464-d2201128,B+R,gpt5.6-sol-high-codex-4h,1,36,openai_codex_workspace_agent,18,0,0,1616.363306,3.194739200000
10,5,kata1-b6c96-s10014464-d2201128,gpt5.6-sol-high-codex-4h,W+R,gpt5.6-sol-high-codex-4h,0,53,openai_codex_workspace_agent,26,0,0,1541.013811,4.023008000000
11,6,gpt5.6-sol-high-codex-4h,kata1-b6c96-s11888896-d2416753-temp-0.5,W+T,kata1-b6c96-s11888896-d2416753-temp-0.5,0,44,openai_codex_workspace_agent,22,0,0,1800.338850,3.183103200000
12,6,kata1-b6c96-s11888896-d2416753-temp-0.5,gpt5.6-sol-high-codex-4h,W+R,gpt5.6-sol-high-codex-4h,0,53,openai_codex_workspace_agent,26,0,0,1453.976143,3.749576800000
13,7,gpt5.6-sol-high-codex-4h,kata1-b6c96-s10825472-d2300510,B+R,gpt5.6-sol-high-codex-4h,1,60,openai_codex_workspace_agent,30,0,0,1732.756043,4.395936000000
14,7,kata1-b6c96-s10825472-d2300510,gpt5.6-sol-high-codex-4h,W+R,gpt5.6-sol-high-codex-4h,0,57,openai_codex_workspace_agent,28,0,0,1614.690959,3.389745600000
15,8,gpt5.6-sol-high-codex-4h,kata1-b6c96-s11888896-d2416753,B+27.0,gpt5.6-sol-high-codex-4h,1,45,openai_codex_workspace_agent,23,0,0,1615.317406,3.048880800000
16,8,kata1-b6c96-s11888896-d2416753,gpt5.6-sol-high-codex-4h,B+T,kata1-b6c96-s11888896-d2416753,1,43,openai_codex_workspace_agent,21,0,0,1800.352323,3.861163200000
17,9,gpt5.6-sol-high-codex-4h,kata1-b6c96-s11888896-d2416753,B+R,gpt5.6-sol-high-codex-4h,1,34,openai_codex_workspace_agent,17,0,0,1108.127230,2.731553600000
18,9,kata1-b6c96-s11888896-d2416753,gpt5.6-sol-high-codex-4h,W+16.0,gpt5.6-sol-high-codex-4h,0,42,openai_codex_workspace_agent,21,0,0,1361.628895,4.170716800000
19,10,gpt5.6-sol-high-codex-4h,kata1-b6c96-s12849664-d2510774-temp-0.5,B+R,gpt5.6-sol-high-codex-4h,1,56,openai_codex_workspace_agent,28,0,0,1244.735965,3.136496000000
20,10,kata1-b6c96-s12849664-d2510774-temp-0.5,gpt5.6-sol-high-codex-4h,W+R,gpt5.6-sol-high-codex-4h,0,55,openai_codex_workspace_agent,27,0,0,1324.596693,3.474320800000
