game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,gpt6-astra-high-api-multi,kata1-b6c96-s8080640-d1961030-temp-0.7,B+4.0,gpt6-astra-high-api-multi,1,77,openai_responses_api,39,0,0,371.848409,1.075686000000
2,1,kata1-b6c96-s8080640-d1961030-temp-0.7,gpt6-astra-high-api-multi,W+16.0,gpt6-astra-high-api-multi,0,81,openai_responses_api,40,0,0,332.959342,1.142094000000
3,2,gpt6-astra-high-api-multi,kata1-b6c96-s11888896-d2416753-temp-0.5,B+R,gpt6-astra-high-api-multi,1,42,openai_responses_api,21,0,0,218.067850,0.606920000000
4,2,kata1-b6c96-s11888896-d2416753-temp-0.5,gpt6-astra-high-api-multi,W+R,gpt6-astra-high-api-multi,0,65,openai_responses_api,32,0,0,309.585205,1.095436000000
5,3,gpt6-astra-high-api-multi,kata1-b6c96-s18429184-d3197121,W+14.0,kata1-b6c96-s18429184-d3197121,0,65,openai_responses_api,33,0,0,388.522491,1.038954000000
6,3,kata1-b6c96-s18429184-d3197121,gpt6-astra-high-api-multi,B+R,kata1-b6c96-s18429184-d3197121,1,62,openai_responses_api,31,0,0,401.173378,1.056864000000
7,4,gpt6-astra-high-api-multi,kata1-b6c96-s14649344-d2727367-temp-0.3,B+4.0,gpt6-astra-high-api-multi,1,73,openai_responses_api,37,0,0,297.230632,1.082280000000
8,4,kata1-b6c96-s14649344-d2727367-temp-0.3,gpt6-astra-high-api-multi,W+4.0,gpt6-astra-high-api-multi,0,54,openai_responses_api,27,0,0,320.353212,0.901000000000
9,5,gpt6-astra-high-api-multi,kata1-b6c96-s16525312-d2925067,0,,0.5,68,openai_responses_api,34,0,0,382.474796,1.003676000000
10,5,kata1-b6c96-s16525312-d2925067,gpt6-astra-high-api-multi,B+2.0,kata1-b6c96-s16525312-d2925067,1,97,openai_responses_api,48,0,0,475.787318,1.605568000000
11,6,gpt6-astra-high-api-multi,kata1-b6c96-s15704832-d2832803,W+R,kata1-b6c96-s15704832-d2832803,0,61,openai_responses_api,31,0,0,382.523400,1.066656000000
12,6,kata1-b6c96-s15704832-d2832803,gpt6-astra-high-api-multi,W+4.0,gpt6-astra-high-api-multi,0,88,openai_responses_api,44,0,0,821.078409,1.904778000000
13,7,gpt6-astra-high-api-multi,kata1-b6c96-s16525312-d2925067-temp-0.5,B+4.0,gpt6-astra-high-api-multi,1,63,openai_responses_api,32,0,0,336.426621,1.134776000000
