game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,gpt6-astra-high-codex-2h,kata1-b6c96-s18429184-d3197121,B+2.0,gpt6-astra-high-codex-2h,1,59,openai_codex_workspace_agent,30,0,0,983.853208,6.762932000000
2,1,kata1-b6c96-s18429184-d3197121,gpt6-astra-high-codex-2h,W+R,gpt6-astra-high-codex-2h,0,63,openai_codex_workspace_agent,31,0,0,1005.643068,7.087546000000
3,2,gpt6-astra-high-codex-2h,kata1-b6c96-s48921344-d7092247,B+R,gpt6-astra-high-codex-2h,1,70,openai_codex_workspace_agent,35,0,0,1133.007643,9.932426000000
4,2,kata1-b6c96-s48921344-d7092247,gpt6-astra-high-codex-2h,W+2.0,gpt6-astra-high-codex-2h,0,58,openai_codex_workspace_agent,29,0,0,864.086634,6.354924000000
5,3,gpt6-astra-high-codex-2h,kata1-b20c256-s241116160-d150094945,W+68.0,kata1-b20c256-s241116160-d150094945,0,110,openai_codex_workspace_agent,55,0,0,1719.035392,19.712666000000
6,3,kata1-b20c256-s241116160-d150094945,gpt6-astra-high-codex-2h,B+74.0,kata1-b20c256-s241116160-d150094945,1,117,openai_codex_workspace_agent,58,0,0,1659.102552,16.563202000000
7,4,gpt6-astra-high-codex-2h,kata1-b10c128-s41138688-d27396855,B+R,gpt6-astra-high-codex-2h,1,36,openai_codex_workspace_agent,18,0,0,709.376272,7.915814000000
8,4,kata1-b10c128-s41138688-d27396855,gpt6-astra-high-codex-2h,W+R,gpt6-astra-high-codex-2h,0,43,openai_codex_workspace_agent,21,0,0,769.918855,6.401550000000
9,5,gpt6-astra-high-codex-2h,kata1-b10c128-s501483520-d110698189,B+R,gpt6-astra-high-codex-2h,1,56,openai_codex_workspace_agent,28,0,0,982.546975,7.854722000000
10,5,kata1-b10c128-s501483520-d110698189,gpt6-astra-high-codex-2h,W+R,gpt6-astra-high-codex-2h,0,39,openai_codex_workspace_agent,19,0,0,676.293818,6.138098000000
11,6,gpt6-astra-high-codex-2h,kata1-b15c192-s449394432-d140458288,B+R,gpt6-astra-high-codex-2h,1,58,openai_codex_workspace_agent,29,0,0,1143.859715,9.973050000000
12,6,kata1-b15c192-s449394432-d140458288,gpt6-astra-high-codex-2h,0,,0.5,86,openai_codex_workspace_agent,43,0,0,1443.215072,16.528830000000
13,7,gpt6-astra-high-codex-2h,kata1-b15c192-s1062526208-d272346422,W+T,kata1-b15c192-s1062526208-d272346422,0,110,openai_codex_workspace_agent,55,0,0,1800.644468,17.796276000000
14,7,kata1-b15c192-s1062526208-d272346422,gpt6-astra-high-codex-2h,B+74.0,kata1-b15c192-s1062526208-d272346422,1,129,openai_codex_workspace_agent,64,0,0,1777.944440,21.627156000000
15,8,gpt6-astra-high-codex-2h,kata1-b15c192-s315428352-d115173910,W+88.0,kata1-b15c192-s315428352-d115173910,0,124,openai_codex_workspace_agent,62,0,0,1795.495389,16.629540000000
16,8,kata1-b15c192-s315428352-d115173910,gpt6-astra-high-codex-2h,B+T,kata1-b15c192-s315428352-d115173910,1,125,openai_codex_workspace_agent,62,0,0,1800.819234,18.328754000000
17,9,gpt6-astra-high-codex-2h,kata1-b15c192-s172540416-d88080224,W+88.0,kata1-b15c192-s172540416-d88080224,0,120,openai_codex_workspace_agent,60,0,0,1781.567700,19.712430000000
18,9,kata1-b15c192-s172540416-d88080224,gpt6-astra-high-codex-2h,B+16.0,kata1-b15c192-s172540416-d88080224,1,109,openai_codex_workspace_agent,54,0,0,1722.682883,15.409688000000
19,10,gpt6-astra-high-codex-2h,kata1-b10c128-s356821760-d90717864,W+62.0,kata1-b10c128-s356821760-d90717864,0,126,openai_codex_workspace_agent,63,0,0,1684.291092,17.648558000000
20,10,kata1-b10c128-s356821760-d90717864,gpt6-astra-high-codex-2h,W+R,gpt6-astra-high-codex-2h,0,77,openai_codex_workspace_agent,38,0,0,1352.043623,14.800904000000
