game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,gpt6-astra-max-api-multi,kata1-b6c96-s8080640-d1961030-temp-0.7,B+R,gpt6-astra-max-api-multi,1,62,openai_responses_api,31,0,0,1532.694465,2.972672000000
2,1,kata1-b6c96-s8080640-d1961030-temp-0.7,gpt6-astra-max-api-multi,W+R,gpt6-astra-max-api-multi,0,51,openai_responses_api,25,0,0,1559.772372,2.865954000000
3,2,gpt6-astra-max-api-multi,kata1-b6c96-s11888896-d2416753-temp-0.5,B+R,gpt6-astra-max-api-multi,1,74,openai_responses_api,37,0,0,2810.136056,5.817746000000
4,2,kata1-b6c96-s11888896-d2416753-temp-0.5,gpt6-astra-max-api-multi,W+R,gpt6-astra-max-api-multi,0,51,openai_responses_api,25,0,0,1062.121264,1.991840000000
5,3,gpt6-astra-max-api-multi,kata1-b6c96-s18429184-d3197121,W+8.0,kata1-b6c96-s18429184-d3197121,0,82,openai_responses_api,41,0,0,2636.689515,6.061672000000
6,3,kata1-b6c96-s18429184-d3197121,gpt6-astra-max-api-multi,W+R,gpt6-astra-max-api-multi,0,67,openai_responses_api,33,0,0,3186.938432,6.715334000000
7,4,gpt6-astra-max-api-multi,kata1-b6c96-s18429184-d3197121,B+R,gpt6-astra-max-api-multi,1,56,openai_responses_api,28,0,0,2477.315169,4.264902000000
8,4,kata1-b6c96-s18429184-d3197121,gpt6-astra-max-api-multi,W+R,gpt6-astra-max-api-multi,0,57,openai_responses_api,28,0,0,2258.488639,3.803444000000
9,5,gpt6-astra-max-api-multi,kata1-b6c96-s21371392-d3529696,B+R,gpt6-astra-max-api-multi,1,74,openai_responses_api,37,0,0,3613.241922,7.141308000000
10,5,kata1-b6c96-s21371392-d3529696,gpt6-astra-max-api-multi,0,,0.5,89,openai_responses_api,44,0,0,4818.284554,9.314172000000
11,6,gpt6-astra-max-api-multi,kata1-b6c96-s23401472-d3742377,W+R,kata1-b6c96-s23401472-d3742377,0,75,openai_responses_api,38,0,0,2555.279982,5.339070000000
12,6,kata1-b6c96-s23401472-d3742377,gpt6-astra-max-api-multi,B+R,kata1-b6c96-s23401472-d3742377,1,74,openai_responses_api,37,0,0,3135.639340,6.798018000000
13,7,gpt6-astra-max-api-multi,kata1-b6c96-s21371392-d3529696,W+44.0,kata1-b6c96-s21371392-d3529696,0,86,openai_responses_api,43,0,0,3002.283190,6.461890000000
14,7,kata1-b6c96-s21371392-d3529696,gpt6-astra-max-api-multi,B+8.0,kata1-b6c96-s21371392-d3529696,1,87,openai_responses_api,43,0,0,3618.953333,8.403558000000
15,8,gpt6-astra-max-api-multi,kata1-b6c96-s19408128-d3280178,B+2.0,gpt6-astra-max-api-multi,1,55,openai_responses_api,28,0,0,647.516807,1.761674000000
16,8,kata1-b6c96-s19408128-d3280178,gpt6-astra-max-api-multi,W+R,gpt6-astra-max-api-multi,0,49,openai_responses_api,24,0,0,1149.716341,3.144972000000
17,9,gpt6-astra-max-api-multi,kata1-b6c96-s20302336-d3388395,W+2.0,kata1-b6c96-s20302336-d3388395,0,72,openai_responses_api,36,0,0,1651.086164,4.444442000000
18,9,kata1-b6c96-s20302336-d3388395,gpt6-astra-max-api-multi,W+R,gpt6-astra-max-api-multi,0,55,openai_responses_api,27,0,0,1387.918294,3.489766000000
19,10,gpt6-astra-max-api-multi,kata1-b6c96-s20302336-d3388395,0,,0.5,76,openai_responses_api,38,0,0,1903.040057,5.463180000000
20,10,kata1-b6c96-s20302336-d3388395,gpt6-astra-max-api-multi,W+R,gpt6-astra-max-api-multi,0,63,openai_responses_api,31,0,0,1121.619634,3.020276000000
21,11,gpt6-astra-max-api-multi,kata1-b6c96-s21371392-d3529696,W+10.0,kata1-b6c96-s21371392-d3529696,0,86,openai_responses_api,43,0,0,2592.747469,7.557430000000
22,11,kata1-b6c96-s21371392-d3529696,gpt6-astra-max-api-multi,B+R,kata1-b6c96-s21371392-d3529696,1,64,openai_responses_api,32,0,0,2950.254817,7.494734000000
23,12,gpt6-astra-max-api-multi,kata1-b6c96-s20302336-d3388395,B+2.0,gpt6-astra-max-api-multi,1,53,openai_responses_api,27,0,0,897.744561,2.462226000000
24,12,kata1-b6c96-s20302336-d3388395,gpt6-astra-max-api-multi,W+2.0,gpt6-astra-max-api-multi,0,70,openai_responses_api,35,0,0,2060.801959,5.438492000000
25,13,gpt6-astra-max-api-multi,kata1-b6c96-s21371392-d3529696,B+R,gpt6-astra-max-api-multi,1,66,openai_responses_api,33,0,0,1488.654556,3.844992000000
26,13,kata1-b6c96-s21371392-d3529696,gpt6-astra-max-api-multi,B+8.0,kata1-b6c96-s21371392-d3529696,1,103,openai_responses_api,51,0,0,4098.588423,12.733044000000
27,14,gpt6-astra-max-api-multi,kata1-b6c96-s21371392-d3529696,B+4.0,gpt6-astra-max-api-multi,1,67,openai_responses_api,34,0,0,1029.442266,3.029504000000
28,14,kata1-b6c96-s21371392-d3529696,gpt6-astra-max-api-multi,B+R,kata1-b6c96-s21371392-d3529696,1,92,openai_responses_api,46,0,0,3496.855562,8.957364000000
29,15,gpt6-astra-max-api-multi,kata1-b6c96-s21371392-d3529696,0,,0.5,85,openai_responses_api,43,0,0,1940.319901,4.828690000000
30,15,kata1-b6c96-s21371392-d3529696,gpt6-astra-max-api-multi,W+R,gpt6-astra-max-api-multi,0,69,openai_responses_api,34,0,0,2738.928927,6.654880000000
