game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,muse-spark-1.3-contributor-xhigh-api-multi,kata1-b6c96-s8080640-d1961030-temp-0.7,B+R,muse-spark-1.3-contributor-xhigh-api-multi,1,40,meta_responses_api,20,1,0,869.385212,0.042505468000
2,1,kata1-b6c96-s8080640-d1961030-temp-0.7,muse-spark-1.3-contributor-xhigh-api-multi,W+12.0,muse-spark-1.3-contributor-xhigh-api-multi,0,79,meta_responses_api,39,0,0,1607.013016,0.089185582000
3,2,muse-spark-1.3-contributor-xhigh-api-multi,kata1-b6c96-s11888896-d2416753-temp-0.5,B+R,muse-spark-1.3-contributor-xhigh-api-multi,1,76,meta_responses_api,38,0,1,2054.808324,0.133548012000
4,2,kata1-b6c96-s11888896-d2416753-temp-0.5,muse-spark-1.3-contributor-xhigh-api-multi,B+26.0,kata1-b6c96-s11888896-d2416753-temp-0.5,1,76,meta_responses_api,38,1,0,935.595006,0.047832656000
5,3,muse-spark-1.3-contributor-xhigh-api-multi,kata1-b6c96-s10825472-d2300510,W+55.0,kata1-b6c96-s10825472-d2300510,0,123,meta_responses_api,62,1,1,1685.895982,0.126866800000
6,3,kata1-b6c96-s10825472-d2300510,muse-spark-1.3-contributor-xhigh-api-multi,B+3.0,kata1-b6c96-s10825472-d2300510,1,62,meta_responses_api,31,1,0,1114.122100,0.087281828000
7,4,muse-spark-1.3-contributor-xhigh-api-multi,kata1-b6c96-s8982784-d2082583,W+20.0,kata1-b6c96-s8982784-d2082583,0,79,meta_responses_api,40,2,1,2356.362747,0.155420582000
8,4,kata1-b6c96-s8982784-d2082583,muse-spark-1.3-contributor-xhigh-api-multi,B+4.0,kata1-b6c96-s8982784-d2082583,1,95,meta_responses_api,47,3,0,2289.446304,0.127979824000
9,5,muse-spark-1.3-contributor-xhigh-api-multi,kata1-b6c96-s8080640-d1961030-temp-0.3,B+5.0,muse-spark-1.3-contributor-xhigh-api-multi,1,69,meta_responses_api,35,1,0,1073.826533,0.075726300000
10,5,kata1-b6c96-s8080640-d1961030-temp-0.3,muse-spark-1.3-contributor-xhigh-api-multi,B+74.0,kata1-b6c96-s8080640-d1961030-temp-0.3,1,157,meta_responses_api,78,2,1,2629.835517,0.188984102000
11,6,muse-spark-1.3-contributor-xhigh-api-multi,kata1-b6c96-s8080640-d1961030-temp-0.3,B+R,muse-spark-1.3-contributor-xhigh-api-multi,1,38,meta_responses_api,19,1,0,482.030667,0.026470956000
12,6,kata1-b6c96-s8080640-d1961030-temp-0.3,muse-spark-1.3-contributor-xhigh-api-multi,B+8.0,kata1-b6c96-s8080640-d1961030-temp-0.3,1,110,meta_responses_api,55,1,0,1682.192061,0.107107652000
13,7,muse-spark-1.3-contributor-xhigh-api-multi,kata1-b6c96-s8080640-d1961030-temp-0.3,W+14.0,kata1-b6c96-s8080640-d1961030-temp-0.3,0,106,meta_responses_api,53,3,0,2328.390367,0.173097560000
14,7,kata1-b6c96-s8080640-d1961030-temp-0.3,muse-spark-1.3-contributor-xhigh-api-multi,W+R,muse-spark-1.3-contributor-xhigh-api-multi,0,83,meta_responses_api,41,2,0,1341.081674,0.092229126000
