game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,opus-5-high-api-multi2,kata1-b6c96-s8080640-d1961030-temp-0.7,B+R,opus-5-high-api-multi2,1,34,anthropic_messages_api,17,0,0,252.200144,0.670368250000
2,1,kata1-b6c96-s8080640-d1961030-temp-0.7,opus-5-high-api-multi2,W+R,opus-5-high-api-multi2,0,25,anthropic_messages_api,12,0,0,174.072696,0.429345500000
3,2,opus-5-high-api-multi2,kata1-b6c96-s11888896-d2416753-temp-0.5,W+14.0,kata1-b6c96-s11888896-d2416753-temp-0.5,0,107,anthropic_messages_api,54,0,0,1645.162148,5.885020750000
4,2,kata1-b6c96-s11888896-d2416753-temp-0.5,opus-5-high-api-multi2,W+11.0,opus-5-high-api-multi2,0,82,anthropic_messages_api,41,0,0,1630.577205,5.434969500000
5,3,opus-5-high-api-multi2,kata1-b6c96-s10825472-d2300510,B+R,opus-5-high-api-multi2,1,44,anthropic_messages_api,22,0,0,299.622920,0.786406000000
6,3,kata1-b6c96-s10825472-d2300510,opus-5-high-api-multi2,W+R,opus-5-high-api-multi2,0,55,anthropic_messages_api,27,0,0,501.087333,1.399993250000
7,4,opus-5-high-api-multi2,kata1-b6c96-s13733120-d2631546-temp-0.5,B+6.0,opus-5-high-api-multi2,1,58,anthropic_messages_api,29,0,0,527.561701,1.769871750000
8,4,kata1-b6c96-s13733120-d2631546-temp-0.5,opus-5-high-api-multi2,W+R,opus-5-high-api-multi2,0,63,anthropic_messages_api,31,0,0,627.512034,2.024286000000
9,5,opus-5-high-api-multi2,kata1-b6c96-s14649344-d2727367-temp-0.3,W+22.0,kata1-b6c96-s14649344-d2727367-temp-0.3,0,102,anthropic_messages_api,51,0,0,1616.666121,6.075388250000
10,5,kata1-b6c96-s14649344-d2727367-temp-0.3,opus-5-high-api-multi2,W+4.0,opus-5-high-api-multi2,0,53,anthropic_messages_api,26,0,0,504.148898,1.410997000000
11,6,opus-5-high-api-multi2,kata1-b6c96-s14649344-d2727367-temp-0.3,W+18.0,kata1-b6c96-s14649344-d2727367-temp-0.3,0,97,anthropic_messages_api,49,0,0,1432.440940,4.867169000000
12,6,kata1-b6c96-s14649344-d2727367-temp-0.3,opus-5-high-api-multi2,W+2.0,opus-5-high-api-multi2,0,68,anthropic_messages_api,34,0,0,1164.353721,3.409131750000
