game,batch,black,white,result,winner,score_black,moves,source,llm_moves,llm_illegal_moves,llm_api_problems,llm_api_seconds,llm_cost_usd
1,1,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067-temp-0.7,B+R,opus-5-max-api-multi,1,64,anthropic_messages_api,32,0,0,1825.120452,5.617204000000
2,1,kata1-b6c96-s16525312-d2925067-temp-0.7,opus-5-max-api-multi,B+20.0,kata1-b6c96-s16525312-d2925067-temp-0.7,1,121,anthropic_messages_api,60,0,0,5869.001301,18.465382750000
3,2,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067-temp-0.7,B+74.0,opus-5-max-api-multi,1,3,anthropic_messages_api,2,0,0,6.187211,0.020129500000
4,2,kata1-b6c96-s16525312-d2925067-temp-0.7,opus-5-max-api-multi,W+R,opus-5-max-api-multi,0,39,anthropic_messages_api,19,0,0,1086.576655,3.079856750000
5,3,opus-5-max-api-multi,kata1-b6c96-s15704832-d2832803,B+1.0,opus-5-max-api-multi,1,67,anthropic_messages_api,34,0,0,3274.457410,10.302962750000
6,3,kata1-b6c96-s15704832-d2832803,opus-5-max-api-multi,B+74.0,kata1-b6c96-s15704832-d2832803,1,149,anthropic_messages_api,74,0,0,4781.690401,16.829152500000
7,4,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067-temp-0.5,B+R,opus-5-max-api-multi,1,66,anthropic_messages_api,33,0,0,1386.148784,4.398996000000
8,4,kata1-b6c96-s16525312-d2925067-temp-0.5,opus-5-max-api-multi,B+10.0,kata1-b6c96-s16525312-d2925067-temp-0.5,1,102,anthropic_messages_api,51,0,0,9137.269749,27.600102500000
9,5,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067-temp-0.5,B+R,opus-5-max-api-multi,1,50,anthropic_messages_api,25,0,0,1687.615743,4.846297000000
10,5,kata1-b6c96-s16525312-d2925067-temp-0.5,opus-5-max-api-multi,W+2.0,opus-5-max-api-multi,0,60,anthropic_messages_api,30,0,0,2146.168841,6.754822000000
11,6,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067,B+8.0,opus-5-max-api-multi,1,57,anthropic_messages_api,29,0,0,2515.553804,8.468435000000
12,6,kata1-b6c96-s16525312-d2925067,opus-5-max-api-multi,B+6.0,kata1-b6c96-s16525312-d2925067,1,104,anthropic_messages_api,52,0,0,6615.967750,20.441881000000
13,7,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067,W+18.0,kata1-b6c96-s16525312-d2925067,0,99,anthropic_messages_api,50,0,0,4438.450921,14.099918500000
14,7,kata1-b6c96-s16525312-d2925067,opus-5-max-api-multi,B+24.0,kata1-b6c96-s16525312-d2925067,1,123,anthropic_messages_api,61,0,0,5483.995387,17.481802250000
15,8,opus-5-max-api-multi,kata1-b6c96-s15704832-d2832803,B+10.0,opus-5-max-api-multi,1,63,anthropic_messages_api,32,0,0,5430.444173,18.753385500000
16,8,kata1-b6c96-s15704832-d2832803,opus-5-max-api-multi,W+R,opus-5-max-api-multi,0,55,anthropic_messages_api,27,0,0,1539.156649,4.680317750000
17,9,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067,B+R,opus-5-max-api-multi,1,66,anthropic_messages_api,33,0,0,2106.349638,6.884258250000
18,9,kata1-b6c96-s16525312-d2925067,opus-5-max-api-multi,W+R,opus-5-max-api-multi,0,47,anthropic_messages_api,23,0,0,926.569887,2.497023750000
19,10,opus-5-max-api-multi,kata1-b6c96-s17434112-d3038653,B+R,opus-5-max-api-multi,1,52,anthropic_messages_api,26,0,0,1557.449069,4.713943500000
20,10,kata1-b6c96-s17434112-d3038653,opus-5-max-api-multi,B+38.0,kata1-b6c96-s17434112-d3038653,1,122,anthropic_messages_api,61,0,0,3945.149482,14.016121500000
21,11,opus-5-max-api-multi,kata1-b6c96-s17434112-d3038653,W+22.0,kata1-b6c96-s17434112-d3038653,0,94,anthropic_messages_api,47,0,0,5413.247453,18.229772500000
22,11,kata1-b6c96-s17434112-d3038653,opus-5-max-api-multi,B+48.0,kata1-b6c96-s17434112-d3038653,1,127,anthropic_messages_api,63,0,0,5834.304857,20.775893750000
23,12,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067,B+R,opus-5-max-api-multi,1,60,anthropic_messages_api,30,0,0,1770.959401,5.358929000000
24,12,kata1-b6c96-s16525312-d2925067,opus-5-max-api-multi,B+16.0,kata1-b6c96-s16525312-d2925067,1,103,anthropic_messages_api,51,0,0,7136.979311,24.026489500000
25,13,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067,B+R,opus-5-max-api-multi,1,58,anthropic_messages_api,29,0,0,2349.884641,8.139959000000
26,13,kata1-b6c96-s16525312-d2925067,opus-5-max-api-multi,B+8.0,kata1-b6c96-s16525312-d2925067,1,121,anthropic_messages_api,60,0,0,7541.837201,23.677549750000
27,14,opus-5-max-api-multi,kata1-b6c96-s16525312-d2925067,B+4.0,opus-5-max-api-multi,1,69,anthropic_messages_api,35,0,0,2345.261374,7.840113250000
28,14,kata1-b6c96-s16525312-d2925067,opus-5-max-api-multi,W+R,opus-5-max-api-multi,0,55,anthropic_messages_api,27,0,0,2248.549820,7.389404500000
29,15,opus-5-max-api-multi,kata1-b6c96-s17434112-d3038653,W+88.0,kata1-b6c96-s17434112-d3038653,0,154,anthropic_messages_api,77,0,0,4440.910943,16.320849000000
30,15,kata1-b6c96-s17434112-d3038653,opus-5-max-api-multi,B+48.0,kata1-b6c96-s17434112-d3038653,1,133,anthropic_messages_api,66,0,0,6857.333237,24.291417500000
